"id";"jenis_aktiva";"quantity";"harga";"total";"tanggal_beli";"maks";"penyusutan";"pemakaian";"status";"id_cat";"created_at";"updated_at"
"55";"BAHAN2 BANG MW THP 3";"1";"124487000";"124487000";"2010-09-30 00:00:00";"15";"691594.44";"86";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"56";"ONGKOS TUKANG BANG.(WAHYU)";"1";"16500000";"16500000";"2010-09-30 00:00:00";"15";"91666.67";"86";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"57";"BAHAN2 BANG.MW THP 3";"1";"38679500";"38679500";"2010-10-30 00:00:00";"15";"214886.11";"85";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"58";"ONGKOS BANG MW (WAHYU)";"1";"25500000";"25500000";"2010-10-30 00:00:00";"15";"141666.67";"85";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"59";"BAHAN2 BANG.MW THP 3";"1";"191992000";"191992000";"2010-11-30 00:00:00";"15";"1066622.22";"84";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"60";"ONGKOS2 TKG BANG. MW";"1";"21500000";"21500000";"2010-11-30 00:00:00";"15";"119444.44";"84";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"61";"DP I BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"50000000";"50000000";"2010-12-30 00:00:00";"15";"277777.78";"83";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"62";"BAHAN2 BANG. MW";"1";"103866000";"103866000";"2010-12-30 00:00:00";"15";"577033.33";"83";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"63";"ONGKOS TUKANG BANG. MW";"1";"25500000";"25500000";"2010-12-30 00:00:00";"15";"141666.67";"83";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"64";"BANG. SD CIATEUL (BANG.LAMA)";"1";"2700000000";"2700000000";"2011-01-30 00:00:00";"0";"0.00";"0";"FD";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"65";"BANG. TK KOPER (BANG.LAMA)";"1";"850000000";"850000000";"2011-01-30 00:00:00";"0";"0.00";"0";"FD";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"66";"BANG. SD & SMP KOPER (BANG.LAMA)";"1";"4000000000";"4000000000";"2011-01-30 00:00:00";"0";"0.00";"0";"FD";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"67";"BANG. TKI (BANG.LAMA)";"1";"600000000";"600000000";"2011-01-30 00:00:00";"0";"0.00";"0";"FD";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"68";"DP I. BANG/RENOV.CIATEUL (SUHANDY)";"1";"100000000";"100000000";"2011-01-30 00:00:00";"15";"555555.56";"82";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"69";"BAHAN2 BANG.MW THP 3";"1";"86337500";"86337500";"2011-01-30 00:00:00";"15";"479652.78";"82";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"70";"ONGKOS TUKANG BANG.MW";"1";"22000000";"22000000";"2011-01-30 00:00:00";"15";"122222.22";"82";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"71";"PENAMB. BANG.THP 1 MW (WASTAFEL)";"1";"423500";"423500";"2011-01-30 00:00:00";"1";"0.00";"12";"FD";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"72";"DP II BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"50000000";"50000000";"2011-02-28 00:00:00";"15";"277777.78";"81";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"73";"BAHAN2 BANG.MW THP 3";"1";"66709500";"66709500";"2011-02-28 00:00:00";"15";"370608.33";"81";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"74";"ONGKOS TUKANG BANG.MW";"1";"22000000";"22000000";"2011-02-28 00:00:00";"15";"122222.22";"81";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"75";"BAHAN2 BANG.MW THP 3";"1";"93895000";"93895000";"2011-03-30 00:00:00";"15";"521638.89";"80";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"76";"ONGKOS TUKANG BANG.MW";"1";"19000000";"19000000";"2011-03-30 00:00:00";"15";"105555.56";"80";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"77";"PELUNASAN BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"50000000";"50000000";"2011-04-30 00:00:00";"15";"277777.78";"79";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"78";"DP II BANG/RENOV.CIATEUL  (SUHANDY)";"1";"100000000";"100000000";"2011-04-30 00:00:00";"15";"555555.56";"79";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"79";"BAHAN2 BANG.MW THP 3";"1";"101780000";"101780000";"2011-04-30 00:00:00";"15";"565444.44";"79";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"80";"ONGKOS TUKANG BANG.MW";"1";"6700000";"6700000";"2011-04-30 00:00:00";"15";"37222.22";"79";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"81";"BAHAN2 BANG.MW THP 3";"1";"84160500";"84160500";"2011-05-30 00:00:00";"15";"467558.33";"78";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"82";"ONGKOS TUKANG BANG.MW";"1";"4000000";"4000000";"2011-05-30 00:00:00";"15";"22222.22";"78";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"83";"BAHAN2 BANG MW THP 3";"1";"99090000";"99090000";"2011-06-30 00:00:00";"15";"550500.00";"77";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"84";"ONGKOS TUKANG BANG.MW";"1";"10580000";"10580000";"2011-06-30 00:00:00";"15";"58777.78";"77";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"85";"PELUN. BANG/RENOV.CIATEUL (SUHANDY)";"1";"64000000";"64000000";"2011-06-30 00:00:00";"15";"355555.56";"77";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"86";"KOMPUTER";"1";"4162400";"4162400";"2008-10-08 00:00:00";"24";"14452.78";"110";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"87";"PELUNASAN MAINAN TK PASUNDAN";"1";"6000000";"6000000";"2012-04-30 00:00:00";"5";"100000.00";"60";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"88";"DRUMBAND 1 SET";"1";"10553535";"10553535";"2015-09-30 00:00:00";"5";"175892.25";"27";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"89";"KEYBOARD PSRS770 SD CTL";"1";"12000000";"12000000";"2015-11-30 00:00:00";"2";"500000.00";"24";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"90";"LAPTOP ASUS (TK CTL)";"1";"3380000";"3380000";"2016-02-29 00:00:00";"1";"281666.67";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"91";"SOUND SYSTEM TK/SD CTL";"1";"27700000";"27700000";"2016-02-29 00:00:00";"1";"2308333.33";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"92";"TV40""PANASONIC R.GURU SD CTL";"1";"3950000";"3950000";"2016-08-30 00:00:00";"1";"329166.67";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"93";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"94";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"95";"1 SET PERLENGK.DRUMBAND (8 BH SNAREDRUM,2 BH STIK MAYORET,2 BH BELLYRA)";"1";"8812800";"8812800";"2016-10-30 00:00:00";"1";"734400.00";"12";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"96";" 2 HANDYCAM+MEMORY+TRIPOD U/ TK & SD CTL";"1";"5350000";"5350000";"2017-01-30 00:00:00";"1";"445833.33";"10";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"97";"PC INTEL LGA + MAINBOARD + HARDISK";"11";"3870000";"42570000";"2017-07-30 00:00:00";"1";"3547500.00";"4";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"98";"PRINTER EPSON L-310 SD CTL";"1";"1690000";"1690000";"2017-08-30 00:00:00";"1";"140833.33";"3";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"99";"PRINTER EPSON L-310 TK CTL";"1";"1690000";"1690000";"2017-08-30 00:00:00";"1";"140833.33";"3";"D";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"100";"DP I MAINAN TK PASUNDAN (I.PRISKA)";"0";"9000000";"9000000";"2011-10-30 00:00:00";"5";"150000.00";"60";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"101";"DP II MAINAN TK PASUNDAN (I.PRISKA)";"1";"15000000";"15000000";"2011-12-30 00:00:00";"5";"250000.00";"60";"FD";"2";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"102";"TV SHARP LED 24"" (CCTV SMP KOPER)";"2";"1750000";"3500000";"2014-12-30 00:00:00";"2";"145833.33";"24";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"103";"PERSNL KOMPT @5.920.000";"6";"5920000";"35520000";"2015-06-30 00:00:00";"6";"493333.33";"29";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"104";"AC RUANG AUDIO SMP KOPER";"2";"4500000";"9000000";"2015-09-30 00:00:00";"2";"375000.00";"24";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"105";"TV 32"" SAMSUNG (R.TUNGGU) SMP KOPER";"1";"2625000";"2625000";"2015-11-30 00:00:00";"1";"218750.00";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"106";"AC+ONGKOS+PIPA+BREKET (bang baru)";"16";"5362500";"85800000";"2015-12-30 00:00:00";"16";"446875.00";"23";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"107";"LAPTOP ASUS SMP KOPER";"1";"3380000";"3380000";"2016-02-29 00:00:00";"1";"281666.67";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"108";"KURSI TUNGGU DUMA 4 SEAT @1.25 JT";"2";"1250000";"2500000";"2016-03-30 00:00:00";"2";"104166.67";"20";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"109";"LOCKER SMP KOPER";"1";"35308500";"35308500";"2016-04-30 00:00:00";"1";"2942375.00";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"110";"INFOCUS ";"1";"4250000";"4250000";"2016-07-30 00:00:00";"1";"354166.67";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"111";"TV40""PANASONIC R.GURU SD+SMP KOPER";"2";"3950000";"7900000";"2016-08-30 00:00:00";"1";"658333.33";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"112";"AMPLIFIER TOA ZA-2240 SMP KOPER";"1";"3500000";"3500000";"2016-08-30 00:00:00";"1";"291666.67";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"113";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"114";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD KOPER";"2";"2675000";"5350000";"2017-01-30 00:00:00";"1";"445833.33";"10";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"115";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"7770000";"15540000";"2017-02-28 00:00:00";"5";"259000.00";"9";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"116";"AMPLIFIER 120W";"1";"2215000";"2215000";"2017-03-30 00:00:00";"1";"184583.33";"8";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"117";"PC INTEL + MAINBOARD + HARDISK";"13";"3870000";"50310000";"2017-07-30 00:00:00";"1";"4192500.00";"4";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"118";"Printer EPSON L310";"1";"1695000";"1695000";"2017-07-30 00:00:00";"1";"141250.00";"4";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"119";"PRINTER EPSON L-310 SD KOPER";"2";"1695000";"3390000";"2017-08-30 00:00:00";"1";"282500.00";"3";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"120";"PRINTER EPSON L-310 SMP KOPER";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"121";"PROJECTOR CASIO SMP KOPER";"2";"6700000";"13400000";"2017-08-30 00:00:00";"1";"1116666.67";"3";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"122";"AMPLIFIER BHAMP TOA SMP KOPER";"1";"3000000";"3000000";"2017-08-30 00:00:00";"1";"250000.00";"3";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"123";"PRINTER EPSON L-310 TK KOPER";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"124";"1 UNIT RAKITAN (R.AULA MULTIMEDIA) TK KOPER";"1";"5050000";"5050000";"2017-09-20 00:00:00";"1";"420833.33";"2";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
