"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"95";"1 SET PERLENGK.DRUMBAND (8 BH SNAREDRUM,2 BH STIK MAYORET,2 BH BELLYRA)";"1";"2016-10-30";"1";"12";"1";"0";"8812800";"8812800";"0";"0";"8812800";"0"
"96";" 2 HANDYCAM+MEMORY+TRIPOD U/ TK & SD CTL";"1";"2017-01-30";"1";"12";"1";"0";"5350000";"5350000";"0";"0";"5350000";"0"
"97";"PC INTEL LGA + MAINBOARD + HARDISK";"11";"2017-07-30";"1";"12";"1";"0";"42570000";"42570000";"0";"0";"42570000";"0"
"98";"PRINTER EPSON L-310 SD CTL";"1";"2017-08-30";"1";"12";"1";"0";"1690000";"1690000";"0";"0";"1690000";"0"
"99";"PRINTER EPSON L-310 TK CTL";"1";"2017-08-30";"1";"12";"1";"0";"1690000";"1690000";"0";"0";"1690000";"0"
"100";"DP I MAINAN TK PASUNDAN (I.PRISKA)";"0";"2011-10-30";"5";"60";"5";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"101";"DP II MAINAN TK PASUNDAN (I.PRISKA)";"1";"2011-12-30";"5";"60";"5";"0";"15000000";"15000000";"0";"0";"15000000";"0"
"";"";"";"";"";"";"";"TOTAL";"155388735";"149676526.97";"5712208.03";"190345.03";"149866872.00";"5521863.00"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Kopo Permai";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"TV SHARP LED 24"" (CCTV SMP KOPER)";"2";"2014-12-30";"2";"24";"2";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"103";"PERSNL KOMPT @5.920.000";"6";"2015-06-30";"6";"43";"3.58";"2.42";"35520000";"21213333.19";"14306666.81";"493333.33";"21706666.52";"13813333.48"
"104";"AC RUANG AUDIO SMP KOPER";"2";"2015-09-30";"2";"24";"2";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"105";"TV 32"" SAMSUNG (R.TUNGGU) SMP KOPER";"1";"2015-11-30";"1";"12";"1";"0";"2625000";"2625000";"0";"0";"2625000";"0"
"106";"AC+ONGKOS+PIPA+BREKET (bang baru)";"16";"2015-12-30";"16";"37";"3.08";"12.92";"85800000";"16534375.00";"69265625.00";"446875";"16981250.00";"68818750.00"
"107";"LAPTOP ASUS SMP KOPER";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"108";"KURSI TUNGGU DUMA 4 SEAT @1.25 JT";"2";"2016-03-30";"2";"24";"2";"0";"2500000";"2500000";"0";"0";"2500000";"0"
"109";"LOCKER SMP KOPER";"1";"2016-04-30";"1";"12";"1";"0";"35308500";"35308500";"0";"0";"35308500";"0"
"110";"INFOCUS ";"1";"2016-07-30";"1";"12";"1";"0";"4250000";"4250000";"0";"0";"4250000";"0"
