    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"108";"KURSI TUNGGU DUMA 4 SEAT @1.25 JT";"2";"2016-03-30";"2";"21";"1.75";"0.25";"2500000";"2187500.07";"312499.93";"104166.67";"2291666.74";"208333.26"
"109";"LOCKER SMP KOPER";"1";"2016-04-30";"1";"12";"1";"0";"35308500";"35308500";"0";"0";"35308500";"0"
"110";"INFOCUS ";"1";"2016-07-30";"1";"12";"1";"0";"4250000";"4250000";"0";"0";"4250000";"0"
"111";"TV40""PANASONIC R.GURU SD+SMP KOPER";"2";"2016-08-30";"1";"12";"1";"0";"7900000";"7900000";"0";"0";"7900000";"0"
"112";"AMPLIFIER TOA ZA-2240 SMP KOPER";"1";"2016-08-30";"1";"12";"1";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"113";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"114";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD KOPER";"2";"2017-01-30";"1";"11";"0.92";"0.08";"5350000";"4904166.63";"445833.37";"445833.33";"5349999.96";"0.04"
"115";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"2017-02-28";"5";"10";"0.83";"4.17";"15540000";"2590000.00";"12950000.00";"259000";"2849000.00";"12691000.00"
"116";"AMPLIFIER 120W";"1";"2017-03-30";"1";"9";"0.75";"0.25";"2215000";"1661249.97";"553750.03";"184583.33";"1845833.30";"369166.70"
"117";"PC INTEL + MAINBOARD + HARDISK";"13";"2017-07-30";"1";"5";"0.42";"0.58";"50310000";"20962500.00";"29347500.00";"4192500";"25155000.00";"25155000.00"
"118";"Printer EPSON L310";"1";"2017-07-30";"1";"5";"0.42";"0.58";"1695000";"706250.00";"988750.00";"141250";"847500.00";"847500.00"
"119";"PRINTER EPSON L-310 SD KOPER";"2";"2017-08-30";"1";"4";"0.33";"0.67";"3390000";"1130000.00";"2260000.00";"282500";"1412500.00";"1977500.00"
"120";"PRINTER EPSON L-310 SMP KOPER";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"121";"PROJECTOR CASIO SMP KOPER";"2";"2017-08-30";"1";"4";"0.33";"0.67";"13400000";"4466666.68";"8933333.32";"1116666.67";"5583333.35";"7816666.65"
"122";"AMPLIFIER BHAMP TOA SMP KOPER";"1";"2017-08-30";"1";"4";"0.33";"0.67";"3000000";"1000000.00";"2000000.00";"250000";"1250000.00";"1750000.00"
"123";"PRINTER EPSON L-310 TK KOPER";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"124";"1 UNIT RAKITAN (R.AULA MULTIMEDIA) TK KOPER";"1";"2017-09-20";"1";"3";"0.25";"0.75";"5050000";"1262499.99";"3787500.01";"420833.33";"1683333.32";"3366666.68"
"125";"6 AC DAIKIN @Rp.5.450.000 SMP KOPER";"6";"2017-11-02";"1";"0";"0";"1";"32700000";"0.00";"32700000.00";"2725000";"2725000.00";"29975000.00"
"";"";"";"";"";"";"";"TOTAL";"331088500";"138754333.24";"192334166.76";"11345041.66";"150099374.90";"180989125.10"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Taman Kopo Indah";"";"";"";"";"";"";"";"";"";"";"";"";""
"126";"MEJA & KURSI(BHN2+OKS) M.WANGI";"60";"2012-04-30";"5";"60";"5";"0";"19634000";"19634000";"0";"0";"19634000";"0"
"127";"PMBYRN I CCTV MEKAR (2 ROLL KABEL)";"0";"2012-07-30";"5";"60";"5";"0";"3000000";"3000000";"0";"0";"3000000";"0"
"128";"PMBYRN II CCTV MEKAR";"0";"2012-08-30";"5";"60";"5";"0";"745000";"745000";"0";"0";"745000";"0"
"129";"PMBYRN III PEMASANGAN CCTV MEKAR";"0";"2012-09-30";"5";"60";"5";"0";"14469800";"14469800";"0";"0";"14469800";"0"
"130";"PMBYRN IV CCTV MEKAR(BACKUP CCTV)";"1";"2012-10-30";"5";"60";"5";"0";"930000";"930000";"0";"0";"930000";"0"
"131";"PRINTER EPSON L-120 MW (TU ADM & PERPUST)";"2";"2015-11-30";"1";"12";"1";"0";"3000000";"3000000";"0";"0";"3000000";"0"
"132";"TV 40"" PANASONIC (LAB BIO,FISIKA,KIMIA) MW";"3";"2015-11-30";"3";"25";"2.08";"0.92";"12300000";"8541666.75";"3758333.25";"341666.67";"8883333.42";"3416666.58"
"133";"AC (DIRPEL & KEU @3.8JT + KOORD.KROOHANIAN 3.5JT)";"3";"2015-12-30";"1";"12";"1";"0";"11100000";"11100000";"0";"0";"11100000";"0"
"134";"AC (R.ACCTG Rp.3,8JT) + PIPA+KABEL";"1";"2016-01-30";"1";"12";"1";"0";"4010000";"4010000";"0";"0";"4010000";"0"
"135";"AC (R.FOCO Rp.3,8JT) + PIPA+KABEL";"1";"2016-01-30";"1";"12";"1";"0";"4010000";"4010000";"0";"0";"4010000";"0"
"136";"LAPTOP ASUS SMA MW";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"137";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"2016-03-30";"1";"12";"1";"0";"4715000";"4715000";"0";"0";"4715000";"0"
"138";"2 BH KOMP KEU @5.484.000 & 1 CPU+KEYB 3.676.000";"3";"2016-07-30";"3";"17";"1.42";"1.58";"14644000";"6915222.26";"7728777.74";"406777.78";"7322000.04";"7321999.96"
"139";"AC DAIKIN 2 PK+PERLENGKPN";"6";"2016-07-30";"6";"17";"1.42";"4.58";"35400000";"8358333.39";"27041666.61";"491666.67";"8850000.06";"26549999.94"
"140";"BACTERI INCUBATOR (8.55JT)+RRC ELECTRIC (1.755JT)";"1";"2016-08-30";"1";"12";"1";"0";"10305000";"10305000";"0";"0";"10305000";"0"
"141";"TV40""PANASONIC (AULA MW-@3.95JT)),PRINTER SMP MW";"2";"2016-08-30";"2";"16";"1.33";"0.67";"9300000";"6200000.00";"3100000.00";"387500";"6587500.00";"2712500.00"
"142";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"143";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"144";"PA AMPLIFIER ZA 230W,KABEL RCA U/AUDIO MIC KELAS";"1";"2016-09-30";"1";"12";"1";"0";"1075000";"1075000";"0";"0";"1075000";"0"
"145";"LEMARI ARSIP R.KEUANGAN";"1";"2016-10-30";"1";"12";"1";"0";"1682500";"1682500";"0";"0";"1682500";"0"
"146";"HANDYCAM+MEMORY U/ SMP & SMA MW";"2";"2017-01-30";"2";"11";"0.92";"1.08";"5050000";"2314583.37";"2735416.63";"210416.67";"2525000.04";"2524999.96"
"147";" 1 LAPTOP ASUS PRO P2420LA U/ STAFF KEROHANIAN";"1";"2017-01-30";"1";"11";"0.92";"0.08";"6300000";"5775000.00";"525000.00";"525000";"6300000.00";"0.00"
"148";"LEMARI R.KEROHANIAN";"1";"2017-02-28";"1";"10";"0.83";"0.17";"1875000";"1562500.00";"312500.00";"156250";"1718750.00";"156250.00"
"149";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"2017-02-28";"2";"10";"0.83";"1.17";"15540000";"6475000.00";"9065000.00";"647500";"7122500.00";"8417500.00"
"150";"MIXER MACKIE PRO";"1";"2017-02-28";"1";"10";"0.83";"0.17";"6600000";"5500000.00";"1100000.00";"550000";"6050000.00";"550000.00"
"151";"MESIN LAS INVERTER LAKONI FALCON 141 GE";"1";"2017-03-30";"1";"9";"0.75";"0.25";"1299600";"974700.00";"324900.00";"108300";"1083000.00";"216600.00"
"152";"AC Daikin 50 MV u/ R. Guru SMA";"1";"2017-07-30";"1";"5";"0.42";"0.58";"5550000";"2312500.00";"3237500.00";"462500";"2775000.00";"2775000.00"
