    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"62";"BAHAN2 BANG. MW";"1";"2010-12-30";"15";"82";"6.83";"8.17";"103866000";"47316733.06";"56549266.94";"577033.33";"47893766.39";"55972233.61"
"63";"ONGKOS TUKANG BANG. MW";"1";"2010-12-30";"15";"82";"6.83";"8.17";"25500000";"11616666.94";"13883333.06";"141666.67";"11758333.61";"13741666.39"
"64";"BANG. SD CIATEUL (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"2700000000";"2700000000";"0";"0";"2700000000";"0"
"65";"BANG. TK KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"850000000";"850000000";"0";"0";"850000000";"0"
"66";"BANG. SD & SMP KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"4000000000";"4000000000";"0";"0";"4000000000";"0"
"67";"BANG. TKI (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"600000000";"600000000";"0";"0";"600000000";"0"
"68";"DP I. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-01-30";"15";"82";"6.83";"8.17";"100000000";"45555555.92";"54444444.08";"555555.5600000001";"46111111.48";"53888888.52"
"69";"BAHAN2 BANG.MW THP 3";"1";"2011-01-30";"15";"82";"6.83";"8.17";"86337500";"39331527.96";"47005972.04";"479652.78";"39811180.74";"46526319.26"
"70";"ONGKOS TUKANG BANG.MW";"1";"2011-01-30";"15";"82";"6.83";"8.17";"22000000";"10022222.04";"11977777.96";"122222.22";"10144444.26";"11855555.74"
"71";"PENAMB. BANG.THP 1 MW (WASTAFEL)";"1";"2011-01-30";"1";"12";"1";"0";"423500";"423500";"0";"0";"423500";"0"
"72";"DP II BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-02-28";"15";"81";"6.75";"8.25";"50000000";"22500000.18";"27499999.82";"277777.78";"22777777.96";"27222222.04"
"73";"BAHAN2 BANG.MW THP 3";"1";"2011-02-28";"15";"81";"6.75";"8.25";"66709500";"30019274.73";"36690225.27";"370608.33";"30389883.06";"36319616.94"
"74";"ONGKOS TUKANG BANG.MW";"1";"2011-02-28";"15";"81";"6.75";"8.25";"22000000";"9899999.82";"12100000.18";"122222.22";"10022222.04";"11977777.96"
"75";"BAHAN2 BANG.MW THP 3";"1";"2011-03-30";"15";"80";"6.67";"8.33";"93895000";"41731111.20";"52163888.80";"521638.89";"42252750.09";"51642249.91"
"76";"ONGKOS TUKANG BANG.MW";"1";"2011-03-30";"15";"80";"6.67";"8.33";"19000000";"8444444.80";"10555555.20";"105555.56";"8550000.36";"10449999.64"
"77";"PELUNASAN BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-04-30";"15";"79";"6.58";"8.42";"50000000";"21944444.62";"28055555.38";"277777.78";"22222222.40";"27777777.60"
"78";"DP II BANG/RENOV.CIATEUL  (SUHANDY)";"1";"2011-04-30";"15";"79";"6.58";"8.42";"100000000";"43888889.24";"56111110.76";"555555.5600000001";"44444444.80";"55555555.20"
"79";"BAHAN2 BANG.MW THP 3";"1";"2011-04-30";"15";"79";"6.58";"8.42";"101780000";"44670110.76";"57109889.24";"565444.4399999999";"45235555.20";"56544444.80"
