"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"382";"2020-02-19";"622.12.117";"Alat tulis kantor sd koper";"012/KK51453/SD2-02/20";"Fotocopy admin bulan Januari 2020";"392200.00";"0.00";"111.25.111";"kas kecil sd koper"
"383";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"013/KK51454/SD2-02/20";"1 buah kran (utk toilet wanita)";"20000.00";"0.00";"111.25.111";"kas kecil sd koper"
"384";"2020-02-19";"712.15.111";"Biaya pemel. kendaraan sd koper";"014/KK51455/SD2-02/20";"Bensin motor sekolah";"20000.00";"0.00";"111.25.111";"kas kecil sd koper"
"385";"2020-02-19";"681.15.111";"Kebaktian/rapat/seminar sd koper";"015/KK51456/SD2-02/20";"Biaya kegiatan sosialisasi KKG Virtual Gugus 6";"1008000.00";"0.00";"111.25.111";"kas kecil sd koper"
"386";"2020-02-19";"712.15.111";"Biaya pemel. kendaraan sd koper";"016/KK51457/SD2-02/20";"Biaya parkir urusan dinas/Januari 2020";"8500.00";"0.00";"111.25.111";"kas kecil sd koper"
"387";"2020-02-19";"631.15.111";"Pemel. inventaris sd koper";"017/KK51458/SD2-02/20";"Biaya service printer ruang guru";"50000.00";"0.00";"111.25.111";"kas kecil sd koper"
"388";"2020-02-19";"622.12.111";"Iuran sampah & dinas sd koper";"018/KK51459/SD2-02/20";"Dana Rereongan Sarupi/BP3 Februari 2020";"150000.00";"0.00";"111.25.111";"kas kecil sd koper"
"389";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"019/KK51460/SD2-02/20";"Handsoap dan karbol sereh";"637500.00";"0.00";"111.25.111";"kas kecil sd koper"
"390";"2020-02-19";"622.12.111";"Iuran sampah & dinas sd koper";"020/KK51461/SD2-02/20";"Kegiatan K3S Januari - Februari 2020";"200000.00";"0.00";"111.25.111";"kas kecil sd koper"
"391";"2020-02-19";"631.15.111";"Pemel. inventaris sd koper";"021/KK51462/SD2-02/20";"2 btl tinta refill printer Epson (ruang guru)";"160000.00";"0.00";"111.25.111";"kas kecil sd koper"
"392";"2020-02-19";"622.12.111";"Iuran sampah & dinas sd koper";"022/KK51463/SD2-02/20";"Iuran wajib RT01/RW03 Kp. Baru Raya Ds Cangkuang(Februari 2020)";"50000.00";"0.00";"111.25.111";"kas kecil sd koper"
"393";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"023/KK51464/SD2-02/20";"Sabun cuci piring";"137500.00";"0.00";"111.25.111";"kas kecil sd koper"
"394";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"024/KK51465/SD2-02/20";"Paku B (utk pasang figura di kelas)";"5000.00";"0.00";"111.25.111";"kas kecil sd koper"
"395";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"025/KK51466/SD2-02/20";"Alat-alat kebersihan untuk pegawai baru";"78500.00";"0.00";"111.25.111";"kas kecil sd koper"
"396";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"026/KK51467/SD2-02/20";"1 bh sambungan kabel (utk di ruang TU admin)";"35000.00";"0.00";"111.25.111";"kas kecil sd koper"
"397";"2020-02-19";"631.15.111";"Pemel. inventaris sd koper";"027/KK51468/SD2-02/20";"1 btl Tiner (utk membersihkan whiteboard)";"17000.00";"0.00";"111.25.111";"kas kecil sd koper"
"398";"2020-02-19";"622.12.111";"Iuran sampah & dinas sd koper";"028/KK51469/SD2-02/20";"Iuran wajib RW 04 Koper/Februari 2020 (pastori/F25-8)";"60000.00";"0.00";"111.25.111";"kas kecil sd koper"
"399";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"029/KK51470/SD2-02/20";"2 bungkus sabun cuci";"29800.00";"0.00";"111.25.111";"kas kecil sd koper"
"400";"2020-02-19";"712.15.111";"Biaya pemel. kendaraan sd koper";"030/KK51471/SD2-02/20";"Bensin motor sekolah";"20000.00";"0.00";"111.25.111";"kas kecil sd koper"
"401";"2020-02-19";"622.12.112";"Air,gas & konsumsi sd koper";"031/KK51472/SD2-02/20";"Konsumsi peserta lomba Sains di PKG";"34500.00";"0.00";"111.25.111";"kas kecil sd koper"
