"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"585";"2020-03-31";"112.32.112";"bdi virtual koper (3562373021)";"007/BDIKOP-03/20";"BUNGA BANK BDI KOPER BLN MARET 2020";"11569.91";"0.00";"541.11.111";"Bunga bank"
"586";"2020-03-31";"541.11.111";"Bunga bank";"008/BDIKOP-03/20";"PAJAK BUNGA BANK BDI KOPER BLN MARET 2020";"2313.98";"0.00";"112.32.112";"bdi virtual koper (3562373021)"
"587";"2020-03-31";"112.32.113";"bdi tki (virtual account)";"004/BDITKI-03/20";"BUNGA BANK BDI TKI BLN MARET 2020";"4152.53";"0.00";"541.11.111";"Bunga bank"
"588";"2020-03-31";"541.11.111";"Bunga bank";"005/BDITKI-03/20";"PAJAK BUNGA BANK BDI TKI BLN MARET 2020";"830.51";"0.00";"112.32.113";"bdi tki (virtual account)"
"589";"2020-03-31";"112.32.114";"bdi virtual mw 93562375307)";"007/BDIMW-03/20";"BUNGA BANK BDI MW BLN MARET 2020";"9051.99";"0.00";"541.11.111";"Bunga bank"
"590";"2020-03-31";"541.11.111";"Bunga bank";"008/BDIMW-03/20";"PAJAK BUNGA BANK BDI MW BLN MARET 2020";"1810.40";"0.00";"112.32.114";"bdi virtual mw 93562375307)"
"591";"2020-03-31";"112.28.111";"bdi a/n. ykki";"074/BDIUM-03/20";"BUNGA BANK BDI UMUM BLN MARET 2020";"27766.86";"0.00";"541.11.111";"Bunga bank"
"592";"2020-03-31";"112.35.111";"bank bca r/k.77";"048/BCAUM-03/20";"BIAYA ADM BCAUM BLN MARET 2020";"0.00";"30000.00";"751.11.111";"Biaya adm bank"
"593";"2020-03-31";"112.28.111";"bdi a/n. ykki";"075/BDIUM-03/20";"PAJAK BUNGA BDIUM BLN MARET 2020";"0.00";"5553.37";"541.11.111";"Bunga bank"
"594";"2020-03-31";"118.11.111";"piutang spp tk ciateul";"01/001-03/20";"US TK CTL MARET 20";"35600000.00";"0.00";"411.11.111";"SPP tk ciateul"
"595";"2020-03-31";"118.11.111";"piutang spp tk ciateul";"01/002-03/20";"MURID KELUAR US TK CTL BLN MARET 20";"0.00";"50000.00";"411.11.111";"SPP tk ciateul"
"596";"2020-03-31";"118.11.111";"piutang spp tk ciateul";"01/003-03/20";"PEMBYRN PIU.US TK CTL MARET 20 (BDI CTL)";"0.00";"5450000.00";"112.32.111";"bdi virtual Ctl(3562377469)"
"597";"2020-03-31";"415.11.111";"u.adm tk ciateul";"01/004-03/20";"PEMBYRN ADM + EKSKUL TK CTL BLN MARET 20 (BDI CTL)";"0.00";"655000.00";"112.32.111";"bdi virtual Ctl(3562377469)"
"598";"2020-03-31";"118.11.111";"piutang spp tk ciateul";"01/005-03/20";"PEMBYRN PIU.US TK CTL BLN MARET 20 (BCA CTL)";"0.00";"25209500.00";"112.36.111";"bank bca va ciateul"
"599";"2020-03-31";"415.11.111";"u.adm tk ciateul";"01/006-03/20";"PEMBYRN EKSKUL TK CTL BLN MARET 20 (BCA CTL)";"0.00";"2191000.00";"112.36.111";"bank bca va ciateul"
"600";"2020-03-31";"119.11.111";"piutang up tk ciateul";"01/007-03/20";"PEMBYRN PIU.UP TK CTL BLN MARET 20 (BCA CTL)";"0.00";"4350000.00";"112.36.111";"bank bca va ciateul"
"601";"2020-03-31";"751.11.111";"Biaya adm bank";"01/008-03/20";"BI ADM BANK EKSKUL TK CTL BLN MARET 20";"0.00";"1000.00";"415.11.111";"u.adm tk ciateul"
"602";"2020-03-31";"751.11.111";"Biaya adm bank";"01/009-03/20";"BI ADM BANK US TK CTL BLN MARET 20";"0.00";"26000.00";"118.11.111";"piutang spp tk ciateul"
